https://www.CryptoDataDownload.com,,,,,,,,,
Unix,datetime,Symbol,Open,High,Low,price,Volume ETH,Volume USDT,tradecount
1664841600000,2022-10-04,ETHUSDT,1323.1,1369.55,1318.66,1361.49,476207.6702,641511283.398288,771766
1664755200000,2022-10-03,ETHUSDT,1276.72,1329.9,1263.04,1323.09,483775.2435,631178676.535611,598748
1664668800000,2022-10-02,ETHUSDT,1311.79,1317.93,1270,1276.72,371740.0407,482595051.281717,462476
1664582400000,2022-10-01,ETHUSDT,1328.71,1333.69,1302.68,1311.79,252081.9056,332930112.025412,347396
1664496000000,2022-09-30,ETHUSDT,1335.69,1373.19,1313.35,1328.72,740753.611,991505362.265307,926935
1664409600000,2022-09-29,ETHUSDT,1337.2,1352.02,1288.52,1335.7,770591.6895,1022673511.08671,950476
1664323200000,2022-09-28,ETHUSDT,1328.01,1355.7,1253.2,1337.2,919314.9131,1199743172.3853,1075441
1664236800000,2022-09-27,ETHUSDT,1336.17,1400,1303.75,1328.02,860584.8944,1170630640.62663,1055212
1664150400000,2022-09-26,ETHUSDT,1294.62,1340.42,1277.85,1336.17,799166.4333,1048795559.35886,934159
1664064000000,2022-09-25,ETHUSDT,1317.13,1337,1269.27,1294.63,515533.8409,674560079.182339,640687
1663977600000,2022-09-24,ETHUSDT,1327.24,1349.33,1306.52,1317.13,517557.3497,687931980.008602,616390
1663891200000,2022-09-23,ETHUSDT,1326.47,1360,1262.15,1327.25,974052.3644,1273403019.69252,1233506
1663804800000,2022-09-22,ETHUSDT,1245.79,1350.08,1237.32,1326.46,904282.2725,1165151398.8301,1094636
1663718400000,2022-09-21,ETHUSDT,1322.94,1408.9,1220,1245.78,1192266.7379,1582450799.93747,1445950
1663632000000,2022-09-20,ETHUSDT,1375.98,1384.78,1312.71,1322.93,658027.1465,889324871.236183,981235
1663545600000,2022-09-19,ETHUSDT,1334.51,1393.35,1280,1375.98,974855.198,1293086590.94143,1235360
1663459200000,2022-09-18,ETHUSDT,1468.82,1469.63,1325.55,1334.51,804113.468,1118416540.5607,990605
1663372800000,2022-09-17,ETHUSDT,1433.9,1476.13,1409.12,1468.83,421391.3743,608805593.714315,694945
1663286400000,2022-09-16,ETHUSDT,1472.76,1483.35,1405.52,1433.9,693597.2425,1006033555.19748,1111984
1663200000000,2022-09-15,ETHUSDT,1638.4,1655.2,1458,1472.75,1335499.8047,2095367507.33233,1748683
1663113600000,2022-09-14,ETHUSDT,1574.4,1647.01,1552.38,1638.39,764562.5393,1222499363.04637,1088561
1663027200000,2022-09-13,ETHUSDT,1716.37,1760.51,1560.54,1574.4,1134549.7256,1871967439.64955,1337439
1662940800000,2022-09-12,ETHUSDT,1766.12,1783,1693,1716.37,630774.6032,1093457780.4845,979874
1662854400000,2022-09-11,ETHUSDT,1774.12,1789,1720.1,1766.11,409287.7263,720937620.963401,645729
1662768000000,2022-09-10,ETHUSDT,1718.24,1789,1706.03,1774.12,411046.2466,713890164.182501,687951
1662681600000,2022-09-09,ETHUSDT,1635.37,1746.13,1630.51,1718.23,837458.2126,1425281242.15555,1066278
1662595200000,2022-09-08,ETHUSDT,1630,1663.56,1595.06,1635.37,645124.0085,1050551822.40818,1015658
1662508800000,2022-09-07,ETHUSDT,1559.01,1657.5,1490.66,1630,850991.4243,1326011621.85375,1132986
1662422400000,2022-09-06,ETHUSDT,1617.8,1687.4,1555,1559.01,1010722.8578,1650513284.85285,1294086
1662336000000,2022-09-05,ETHUSDT,1579.29,1631.99,1556.56,1617.8,503492.937,797702531.399046,718867
1662249600000,2022-09-04,ETHUSDT,1557.45,1583.66,1540.66,1579.28,296591.1166,463177013.875988,520856
1662163200000,2022-09-03,ETHUSDT,1575.35,1582.71,1534.28,1557.46,321397.2189,500057144.518217,562893
1662076800000,2022-09-02,ETHUSDT,1586.17,1650,1546.41,1575.35,919009.6598,1471855448.35993,1160858
1661990400000,2022-09-01,ETHUSDT,1554.11,1599,1512.77,1586.16,728710.482,1133222116.03277,1195229
1661904000000,2022-08-31,ETHUSDT,1524.59,1619.78,1524.59,1554.1,949227.6775,1497596316.30099,1471691
1661817600000,2022-08-30,ETHUSDT,1551.79,1606.13,1473.61,1524.59,1003075.0172,1551625838.93832,1292499
1661731200000,2022-08-29,ETHUSDT,1426.76,1559.99,1422.08,1551.8,826252.0831,1230281044.88017,1099487
1661644800000,2022-08-28,ETHUSDT,1491.06,1511,1424,1426.76,544846.4486,805616000.739226,756843
1661558400000,2022-08-27,ETHUSDT,1508.18,1518.42,1447.52,1491.06,756136.6768,1125859038.15454,1015752
1661472000000,2022-08-26,ETHUSDT,1695.11,1706.45,1486.85,1508.18,1149912.8292,1862598061.3182,1488212
1661385600000,2022-08-25,ETHUSDT,1656.56,1722,1653.68,1695.11,603090.713,1023691864.19044,869479
1661299200000,2022-08-24,ETHUSDT,1665.4,1694.13,1604.92,1656.56,744667.6078,1228169659.88739,993324
1661212800000,2022-08-23,ETHUSDT,1624.65,1676.07,1563.76,1665.41,940246.932,1528222432.85183,1195279
1661126400000,2022-08-22,ETHUSDT,1618.13,1629.72,1529.92,1624.66,941192.8954,1483442567.23627,1193059
1661040000000,2022-08-21,ETHUSDT,1576.03,1646.52,1562.34,1618.13,780662.6062,1255041865.22444,1000876
1660953600000,2022-08-20,ETHUSDT,1609,1657.08,1523.67,1576.04,914615.9226,1468671141.09012,1130991
1660867200000,2022-08-19,ETHUSDT,1846.39,1848,1602.37,1609.01,1419826.9515,2447147973.00589,1681256
1660780800000,2022-08-18,ETHUSDT,1834.24,1882.37,1821.25,1846.39,606254.024,1126844899.60775,848806
1660694400000,2022-08-17,ETHUSDT,1876.67,1959.43,1818.74,1834.25,951824.8975,1781033503.42343,1179058
1660608000000,2022-08-16,ETHUSDT,1899.05,1915,1853,1876.67,622729.1499,1173013843.33805,908578
1660521600000,2022-08-15,ETHUSDT,1935.32,2012.47,1872.31,1899.06,949162.3305,1824203091.99567,1295615
1660435200000,2022-08-14,ETHUSDT,1983.55,2030,1906,1935.31,569583.4852,1122186881.22395,856767
1660348800000,2022-08-13,ETHUSDT,1958.28,2020,1946.5,1983.55,695876.0293,1382235354.29249,940869
1660262400000,2022-08-12,ETHUSDT,1880.19,1964.71,1853.06,1958.28,717628.1015,1363895150.81011,1027178
1660176000000,2022-08-11,ETHUSDT,1853.58,1942,1850.32,1880.19,1105261.9009,2093718964.80063,1324999
1660089600000,2022-08-10,ETHUSDT,1702.76,1885,1656.78,1853.57,1317767.5127,2346974815.06706,1590681
1660003200000,2022-08-09,ETHUSDT,1777.05,1790.83,1667.93,1702.76,818171.1019,1406671817.08567,1062267
1659916800000,2022-08-08,ETHUSDT,1700.2,1818,1693.87,1777.05,781620.5443,1379905145.70302,987727
1659830400000,2022-08-07,ETHUSDT,1690.6,1729.79,1668,1700.19,439904.764,745750151.382087,692491
1659744000000,2022-08-06,ETHUSDT,1736.81,1749.93,1685.26,1690.6,523314.6444,899479880.987209,752873
1659657600000,2022-08-05,ETHUSDT,1607.97,1742.07,1605.64,1736.81,1005846.4712,1688798692.30733,1404516
1659571200000,2022-08-04,ETHUSDT,1618.16,1662.79,1580.39,1607.96,735552.181,1190650505.14895,1051634
1659484800000,2022-08-03,ETHUSDT,1630.91,1685.03,1589.71,1618.16,777724.7413,1276328467.02225,1112406
1659398400000,2022-08-02,ETHUSDT,1630.28,1678,1559.28,1630.91,1081964.5104,1745550410.99895,1458878
1659312000000,2022-08-01,ETHUSDT,1678.12,1704.68,1606.12,1630.28,801566.5648,1328136208.95945,1029570
1659225600000,2022-07-31,ETHUSDT,1697,1754.69,1666,1678.12,696326.8079,1186613538.12167,886708
1659139200000,2022-07-30,ETHUSDT,1721.68,1744.85,1673.01,1697,735132.5286,1257726968.66585,1028313
1659052800000,2022-07-29,ETHUSDT,1724.52,1765.99,1655.02,1721.68,1205266.5703,2061258807.22679,1439533
1658966400000,2022-07-28,ETHUSDT,1635.74,1784.79,1593.27,1724.52,1578145.07555,2644280824.31078,1719118
1658880000000,2022-07-27,ETHUSDT,1449.12,1644.44,1420.83,1635.74,1513426.0413,2305847817.81058,1547390
1658793600000,2022-07-26,ETHUSDT,1440.79,1454.11,1356.17,1449.12,1199643.7408,1684928509.39958,1175787
1658707200000,2022-07-25,ETHUSDT,1597.7,1609.55,1435.58,1440.79,1418390.9809,2151224738.81666,1407648
1658620800000,2022-07-24,ETHUSDT,1548.66,1664.34,1545.67,1597.7,1009935.8997,1616289077.62887,1238522
1658534400000,2022-07-23,ETHUSDT,1535.27,1596.51,1488,1548.67,851284.7339,1310964570.18948,950665
1658448000000,2022-07-22,ETHUSDT,1575.45,1650.05,1516.11,1535.27,1170723.0873,1865036182.28467,1295899
1658361600000,2022-07-21,ETHUSDT,1521.63,1605.98,1463.56,1575.45,1247327.4963,1897833300.99776,1282430
1658275200000,2022-07-20,ETHUSDT,1542.33,1620.4,1484.23,1521.58,1351177.4247,2109332407.42686,1506300
1658188800000,2022-07-19,ETHUSDT,1581.03,1631,1493.11,1542.32,1846048.6816,2856463586.86091,1818358
1658102400000,2022-07-18,ETHUSDT,1338.65,1597.47,1336.07,1581.04,2029918.76521,2980357374.79268,1750043
1658016000000,2022-07-17,ETHUSDT,1355.84,1387,1319.04,1338.65,1246202.8795,1687064377.69842,1163593
1657929600000,2022-07-16,ETHUSDT,1231.25,1422.91,1191.23,1355.85,1493809.9226,1936527899.32549,1678529
1657843200000,2022-07-15,ETHUSDT,1193.42,1287.82,1181.05,1231.25,1466037.2584,1794058728.78452,1170632
1657756800000,2022-07-14,ETHUSDT,1115.01,1214.65,1072.11,1193.42,1605101.9262,1816929082.73288,1611421
